Id,RegisteredNumber,RegistryDate,MauzaName
1003303540,11220240014658,2024-08-05,ملتان سٹی
1003301943,11220240014898,2024-08-03,ملتان سٹی
1003296326,11220240014214,2024-07-31,ملتان سٹی
1003283196,11220240013879,2024-07-24,ملتان سٹی
1003254591,11220240000508,2024-06-28,ملتان سٹی
1003235385,11220240011738,2024-06-27,ملتان سٹی
1003234932,11220240014473,2024-06-27,ملتان سٹی
1003230470,11220240011745,2024-06-26,ملتان سٹی
1003226447,11220240013603,2024-06-26,ملتان سٹی
1003220287,11220240012400,2024-06-25,ملتان سٹی
1003204393,11220240012155,2024-06-15,ملتان سٹی
1003158372,11220240010316,2024-05-30,ملتان سٹی
1003155866,11220240010304,2024-05-30,ملتان سٹی
1003145461,11220240009922,2024-05-24,ملتان سٹی
1003143621,11220240013460,2024-05-23,ملتان سٹی
1003139029,11220240000407,2024-05-22,ملتان سٹی
1003138278,11220240000408,2024-05-22,ملتان سٹی
1003122868,11220240009587,2024-05-16,ملتان سٹی
1003122199,11220240009679,2024-05-16,ملتان سٹی
1003121620,11220240015268,2024-05-16,ملتان سٹی
1003101005,11220240010711,2024-05-07,ملتان سٹی
1003093975,11220240012911,2024-05-03,ملتان سٹی
1003057033,11220240007894,2024-04-16,ملتان سٹی
1003014289,11220240007166,2024-03-19,ملتان سٹی
1002996176,11220240004678,2024-03-09,ملتان سٹی
1002988424,11220240005696,2024-03-06,ملتان سٹی
1002982681,11220240006555,2024-03-04,ملتان سٹی
1002978536,11220240004148,2024-03-01,ملتان سٹی
1002972529,11220240006681,2024-02-28,ملتان سٹی
1002970344,11220240004775,2024-02-27,ملتان سٹی
1002967662,11220240003506,2024-02-26,ملتان سٹی
1002964961,11220240004147,2024-02-24,ملتان سٹی
1002963233,11220240004787,2024-02-23,ملتان سٹی
1002961187,11220240003101,2024-02-22,ملتان سٹی
1002956447,11220240002906,2024-02-21,ملتان سٹی
1002951887,11220240002756,2024-02-20,ملتان سٹی
1002944333,11220240003599,2024-02-16,ملتان سٹی
1002937561,11220240003136,2024-02-14,ملتان سٹی
1002903416,11220240001695,2024-01-24,ملتان سٹی
1002895786,11220240002565,2024-01-19,ملتان سٹی
1002895661,11220240002636,2024-01-19,ملتان سٹی
1002890392,11220240001011,2024-01-17,ملتان سٹی
1002879858,11220240000510,2024-01-12,ملتان سٹی
1002858702,11220240000470,2024-01-02,ملتان سٹی
1002853308,11220240000227,2023-12-28,ملتان سٹی
1002833841,11220240001573,2023-12-18,ملتان سٹی
1002811777,11220240000920,2023-12-06,ملتان سٹی
1002766430,11220230005688,2023-11-14,ملتان سٹی
1002763540,11220230005732,2023-11-13,ملتان سٹی
1002760119,11220230005555,2023-11-08,ملتان سٹی
1002743789,11220230005376,2023-10-31,ملتان سٹی
1002715407,11220230004843,2023-10-16,ملتان سٹی
1002715146,11220230005202,2023-10-14,ملتان سٹی
1002707945,11220230004703,2023-10-10,ملتان سٹی
1002697003,11220230004284,2023-10-04,ملتان سٹی
1002677687,11220240009624,2023-09-22,ملتان سٹی
1002645999,11220230006405,2023-09-06,ملتان سٹی
1002598510,11220230002525,2023-08-12,ملتان سٹی
1002588708,11220230002279,2023-08-08,ملتان سٹی
1002562100,11220230001885,2023-07-22,ملتان سٹی
1002523420,11220230001287,2023-06-23,ملتان سٹی
1002514596,11220230001486,2023-06-21,ملتان سٹی
1002506677,11220230001562,2023-06-19,ملتان سٹی
1002470327,11220230000672,2023-06-05,ملتان سٹی
1002443492,11220230000712,2023-05-24,ملتان سٹی
1002437007,11220230000396,2023-05-22,ملتان سٹی
414697092,904,1974-02-13,ملتان سٹی
414679891,396,1961-10-16,ملتان سٹی
414679635,404,1964-02-07,ملتان سٹی
414679562,3409,1967-10-07,ملتان سٹی
414679450,723,1968-02-23,ملتان سٹی
414679449,723,1968-02-23,ملتان سٹی
414679371,2543,1970-06-29,ملتان سٹی
414678058,9811,1989-10-23,ملتان سٹی
414653849,7094,1987-11-15,ملتان سٹی
414653619,323,1968-09-14,ملتان سٹی
414653617,345,1968-09-04,ملتان سٹی
414653540,672,1968-02-22,ملتان سٹی
414652032,3609,1974-05-31,ملتان سٹی
414651973,16,1974-01-03,ملتان سٹی
414651723,1575,1974-03-13,ملتان سٹی
414651558,2527,1974-04-18,ملتان سٹی
414651240,5670,1974-08-13,ملتان سٹی
414651152,8418,1974-01-28,ملتان سٹی
414651030,9093,1974-12-18,ملتان سٹی
414608715,3599,1967-10-21,ملتان سٹی
414581191,288,1949-03-12,ملتان سٹی
414581070,409,1949-04-12,ملتان سٹی
414581010,158,1951-01-31,ملتان سٹی
414580846,626,1952-04-25,ملتان سٹی
414580770,778,1952-05-21,ملتان سٹی
414580767,784,1952-05-22,ملتان سٹی
414580734,310,1952-02-29,ملتان سٹی
414580634,510,1952-04-04,ملتان سٹی
414580617,544,1952-04-09,ملتان سٹی
414580548,1528,1954-10-19,ملتان سٹی
414580343,1030,1956-05-10,ملتان سٹی
414579890,278,1959-03-02,ملتان سٹی
414579841,425,1959-04-06,ملتان سٹی
414579472,813,1971-03-15,ملتان سٹی
414579382,66,1963-03-22,ملتان سٹی
414578887,4679,1973-09-09,ملتان سٹی
414578666,5823,1973-11-27,ملتان سٹی
414578114,111,1975-01-14,ملتان سٹی
414577906,193,1976-03-03,ملتان سٹی
414577807,85,1976-01-31,ملتان سٹی
414577786,94,1976-02-04,ملتان سٹی
414577647,1304,1982-01-23,ملتان سٹی
414576578,12447,1982-11-27,ملتان سٹی
414576521,12561,1982-11-29,ملتان سٹی
414574943,9149,1983-07-17,ملتان سٹی
414574832,1056,1988-02-03,ملتان سٹی
414574828,1060,1988-02-03,ملتان سٹی
414574823,1065,1988-02-03,ملتان سٹی
414572197,5895,1989-06-11,ملتان سٹی
414572153,5939,1989-06-12,ملتان سٹی
414572152,5940,1989-06-12,ملتان سٹی
414571646,12326,1991-11-28,ملتان سٹی
414570997,2080,1993-09-23,ملتان سٹی
414570141,4551,1994-05-29,ملتان سٹی
414569832,715,1995-01-22,ملتان سٹی
414568689,101,1998-02-13,ملتان سٹی
414568470,2058,1998-03-12,ملتان سٹی
414568216,6621,1998-09-02,ملتان سٹی
414567803,2458,2003-04-24,ملتان سٹی
414567751,2511,2003-11-12,ملتان سٹی
414567435,2369,2009-11-16,ملتان سٹی
414567072,10386,2011-08-04,ملتان سٹی
414566987,2872,2012-02-27,ملتان سٹی
414566957,6004,2012-04-28,ملتان سٹی
414566898,6067,2012-04-30,ملتان سٹی
414566508,12566,2015-11-16,ملتان سٹی
414566273,14698,2016-12-16,ملتان سٹی
414565987,1341,2001-10-19,ملتان سٹی
414565203,4232,2005-05-25,ملتان سٹی
414540605,10689,2012-09-11,ملتان سٹی
414540505,3259,1986-06-23,ملتان سٹی
414540446,2241,1987-03-28,ملتان سٹی
414539913,5328,1984-03-22,ملتان سٹی
414539894,5395,1984-03-24,ملتان سٹی
414539893,5398,1984-03-24,ملتان سٹی
414539360,269,1988-05-28,ملتان سٹی
414539221,405,1963-04-24,ملتان سٹی
414536555,263,1967-07-03,ملتان سٹی
414536396,314,1967-08-15,ملتان سٹی
414536385,4568,2009-04-20,ملتان سٹی
414536345,343,1967-09-01,ملتان سٹی
414536299,7413,2009-06-24,ملتان سٹی
414536252,3247,1967-09-22,ملتان سٹی
414536031,245,1968-08-24,ملتان سٹی
414535958,283,1968-09-05,ملتان سٹی
414535500,615,1968-02-15,ملتان سٹی
414535195,1159,1969-08-19,ملتان سٹی
414535063,6938,1970-06-12,ملتان سٹی
414515754,105,1972-01-11,ملتان سٹی
414482849,4841,1974-07-13,ملتان سٹی
414482461,8774,1974-06-20,ملتان سٹی
414473609,2129,1992-08-01,ملتان سٹی
414472423,824,1974-02-09,ملتان سٹی
414472421,830,1974-02-11,ملتان سٹی
414471824,2299,1976-02-24,ملتان سٹی
414470168,13591,1984-09-03,ملتان سٹی
414464511,2395,1972-06-29,ملتان سٹی
414462881,13706,1984-09-04,ملتان سٹی
414462842,13670,1984-09-04,ملتان سٹی
414462835,13664,1984-09-04,ملتان سٹی
414462761,13595,1984-09-03,ملتان سٹی
414462153,13731,1984-09-04,ملتان سٹی
414462094,13554,1984-09-02,ملتان سٹی
414461063,12852,1984-08-19,ملتان سٹی
414460366,9711,1984-06-10,ملتان سٹی
414459352,1799,1987-10-17,ملتان سٹی
414458970,9145,1984-05-28,ملتان سٹی
414457380,10975,1984-07-16,ملتان سٹی
414457227,6460,2013-05-23,ملتان سٹی
414457143,10873,1984-08-15,ملتان سٹی
414456916,10747,1984-07-11,ملتان سٹی
414393854,12758,2010-12-07,ملتان سٹی
414392456,558,1999-03-15,ملتان سٹی
414391400,1382,1957-10-28,ملتان سٹی
414308171,349,1987-01-17,ملتان سٹی
414308162,358,1987-07-17,ملتان سٹی
414308145,437,1987-01-20,ملتان سٹی
414308132,452,1987-01-20,ملتان سٹی
414308104,859,1987-02-04,ملتان سٹی
414307930,1578,1987-03-02,ملتان سٹی
414307888,1625,1987-03-03,ملتان سٹی
414307842,1677,1987-03-17,ملتان سٹی
414307811,1793,1987-03-17,ملتان سٹی
